"","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20"
"Subject091",1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0
"Subject092",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"Subject093",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
"Subject094",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"Subject095",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject096",0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject097",0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1
"Subject098",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"Subject099",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
"Subject100",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject101",1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Subject102",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject103",0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
"Subject104",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject105",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
"Subject106",1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0
"Subject107",1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject108",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject109",1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0
"Subject110",1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0
"Subject111",0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Subject112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subject113",1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0
"Subject114",0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1
"Subject115",1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0
"Subject116",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject117",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Subject118",0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
"Subject119",0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
"Subject120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subject121",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject122",0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
"Subject123",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Subject124",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject125",1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1
"Subject126",1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
"Subject127",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject128",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject129",0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0
"Subject130",1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"Subject131",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"Subject132",0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0
"Subject133",0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0
"Subject134",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject135",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject136",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"Subject137",0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1
"Subject138",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"Subject139",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Subject140",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"Subject141",1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0
"Subject142",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"Subject143",0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Subject144",0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Subject145",0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
"Subject146",0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
"Subject147",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
"Subject148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subject149",0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1
"Subject150",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject151",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1
"Subject152",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject153",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"Subject154",1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Subject155",0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
"Subject156",1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
"Subject157",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
"Subject158",0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1
"Subject159",0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0
"Subject160",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
"Subject161",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1
"Subject162",1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject163",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"Subject164",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"Subject165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subject166",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Subject167",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Subject168",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject169",1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"Subject170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subject171",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1
"Subject172",0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1
"Subject173",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject174",0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0
"Subject175",0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0
"Subject176",0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
"Subject177",0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1
"Subject178",0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Subject179",0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0
"Subject180",1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Subject181",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject182",1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0
"Subject183",1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0
"Subject184",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject185",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject186",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
"Subject187",1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Subject188",0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0
"Subject189",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject190",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject191",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
"Subject192",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Subject193",1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"Subject194",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1
"Subject195",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"Subject196",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Subject197",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"Subject198",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject199",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject200",1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Subject201",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject202",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"Subject203",1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1
"Subject204",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject205",0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0
"Subject206",0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1
"Subject207",1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1
"Subject208",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Subject209",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"Subject210",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject211",0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
"Subject212",0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0
"Subject213",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject214",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject215",1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Subject216",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject217",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject218",1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Subject219",1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0
"Subject220",1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1
"Subject221",0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0
"Subject222",1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0
"Subject223",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject224",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Subject225",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
"Subject226",0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0
"Subject227",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subject228",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Subject229",1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
"Subject230",1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0
"Subject231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subject232",1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0
"Subject233",0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
"Subject234",0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"Subject235",1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Subject236",1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"Subject237",1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0
"Subject238",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject239",0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1
"Subject240",1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"Subject241",1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1
"Subject242",1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0
"Subject243",1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1
"Subject244",0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
"Subject245",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"Subject246",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject247",1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
"Subject248",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
"Subject249",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject250",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"Subject251",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject252",1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0
"Subject253",0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"Subject254",1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
"Subject255",1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
"Subject256",1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"Subject257",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject258",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
"Subject259",1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1
"Subject260",1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
"Subject261",0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Subject262",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"Subject263",0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0
"Subject264",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Subject265",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
"Subject266",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
"Subject267",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Subject268",1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0
"Subject269",1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0
"Subject270",1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
"Subject271",0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0
"Subject272",1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1
"Subject273",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"Subject274",1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Subject275",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject276",1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0
"Subject277",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0
"Subject278",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject279",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Subject280",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject281",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"Subject282",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject283",0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
"Subject284",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"Subject285",0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1
"Subject286",1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject287",0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0
"Subject288",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"Subject289",1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1
"Subject290",1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subject292",1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Subject293",0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0
"Subject294",0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
"Subject295",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject296",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject297",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Subject298",0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
"Subject299",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subject300",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
